Rank,Car,2019,2018,2017,2016,2015,2014
112,  Jaguar E-Pace,180,223,243,215,154,115
113,  Mazda CX-3,179,220,232,205,148,112
113,  Suzuki Swift,179,217,229,190,145,111
115,  Citroen Grand C4 Spacetourer,172,210,227,188,145,106
116,  BMW 4 Series,164,208,227,187,137,106
117,  Volkswagen Touran,162,204,218,181,126,106
118,  Landrover Range Rover Velar,159,203,218,174,122,102
119,  BMW 2 Series,153,193,218,166,116,101
120,  Fiat 500,150,187,217,162,115,86
120,  Mitsubishi ASX,150,186,214,157,111,81
122,  Lexus NX,149,185,210,154,111,81
123,  Jaguar F-Pace,146,185,207,154,107,72
124,  Hyundai Ioniq,145,182,202,149,106,72
125,  BMW i3,142,182,200,148,105,72
126,  Landrover Discovery,140,181,191,144,102,70
127,  Nissan Juke,139,181,188,139,102,67
128,  Volvo V40,132,177,184,128,102,66
128,  Volvo V60,132,176,180,115,101,65
130,  Lexus ES,129,173,170,115,99,63
131,  Nissan Pulsar,127,171,170,114,96,61
132,  Fiat Tipo,126,163,169,112,93,52
133,  Citroen C3 Aircross,125,160,167,111,92,50
134,  Audi Q7,116,155,160,105,88,50
134,  Citroen C4 Cactus,116,155,146,97,84,44
136,  Mercedes Benz B Class,115,152,142,96,84,34
137,  Volvo S90,111,151,136,96,83,30
138,  Mercedes Benz CLS,106,151,132,95,78,27
139,  Toyota Prius,103,137,130,94,77,22
140,  Ford C-Max,99,136,126,88,74,20
141,  Skoda Rapid,96,131,123,84,70,17
142,  Renault Scenic,92,121,121,83,66,17
143,  Ford Galaxy,90,116,110,80,62,10
144,  Jeep Compass,89,115,109,80,60,8
145,  Renault Koleos,86,106,107,80,59,7
146,  Suzuki SX4,81,104,103,79,55,5
147,  Seat Mii,80,96,98,79,53,4
148,  BMW X2,71,94,94,79,51,2
149,  Kia Pro_Ceed,70,94,91,75,49,
149,  Volkswagen Sharan,70,92,89,72,47,
149,  Volvo S60,70,90,86,72,47,
152,  Audi Q8,69,87,75,71,45,
152,  Suzuki Baleno,69,85,72,70,43,
154,  Kia Soul,62,81,72,66,41,
155,  Suzuki Celerio,61,81,72,63,38,
156,  Audi A7,59,79,71,59,38,
157,  Fiat 500X,58,79,70,55,36,
